SYMTAIL,4
BLOOM,4
PASSBITS,5
FORTH,12
DEFINITIONS,9
>SYMS,15
SYM.REWIND,12
SYM.LEN,6
SYMLENS,17
SYMCOPY,16
SYM+,28
BLOOM#,28
BLOOMFILTER,11
PEARSON#,9
UNSMUDGE,2
SMUDGE,7
?SMUDGE,11
UNSMUDGECLONE16,3
SMUDGECLONE16,3
(>NAME),36
>NAME,9
NAME>,6
(FILTER).REWIND,11
SWAP.73,19
EXT-UNTIL,13
(SEEK),63
>THREAD,12
IMMEDORNOT,13
NEXTVOCAB?,21
FOUND?,73
(CREATE),144
?VMMOVE,5
(AUTOMEM),51
>PASSBIT,9
PASSBITS?,9
PASSBITS!,9
(FORGET).LOOPER,33
(FORGET).KEEP,21
SYM.NEXT,9
(FORGET).PASS1,52
(FORGET).PASS2,17
INIT.411,7
(FORGET),71
SYMTAIL!,7
REHASH,9
FORGET,22
Error messages,282
ERROR.MSG,21
-->,11
SKIP,3
SCAN,35
\,8
?REFILL.SETUP,20
?REFILL,13
NAME,57
PREFIX<,5
PREFIX=,5
PREFIX>,5
PREFIXR,5
PREFIXN,12
PREFIXES<=>,5
PREFIXESRN,5
PREFIXES#$%,24
PREFIX#,4
PREFIX$,4
PREFIX%,4
PREFIX-,16
PREFIXES,28
FIRSTCHAR,10
NEXTCHAR,9
PREFIX?,16
DEVNUMBER,21
INTERPRET,81
QUIT,32
ABORT,11
LOAD,36
?CHAR,11
EXISTS?,19
',12
HERELSB,6
ALLOT,9
",",13
"C,",13
"CFA,",11
NEXTPAGE,23
PAGEMARGIN,14
PAGEALIGN,17
"XT,",10
UNDEFINE,25
COMPILING?,9
?COMP,12
COMPILE,17
CREATE,11
:,27
CLOSE-DEFINITION,31
;,11
?:,19
DPSWAP,11
DOES>,34
BISHWHET,25
<BUILDS,29
CONSTANT,13
CCONSTANT,13
2CONSTANT,15
VARIABLE,11
LATEST,9
"$,",17
$>PAD,11
(,12
">"".""",29
".""",7
"""",7
[,9
],11
.(,14
['],11
IMMEDIATE,12
>VOCAB,29
VDROP1,15
VOCABULARY,52
2VARIABLE,11
DROPLIT,9
LITERAL,31
DLITERAL,13
SAVE-FORTH,0
?CSP,7
!CSP,6
PAIRS,8
0PAIRS,11
?NOPAIRS,20
+/-PAIRS,38
METHOD,11
>CONTROL,17
>MARK,15
>RESOLVE,17
<RESOLVE,21
DO,10
?DO,10
LOOP,12
+LOOP,12
LEAVE,14
?LEAVE,14
IF,10
ELSE,16
THEN,12
BEGIN,14
WHILE,12
UNTIL,12
AGAIN,12
REPEAT,20
"PETSCII""",14
.S,47
H.,29
4H.,15
XLATE,15
DUMP,82
ID.,14
ID.L,9
?CR,30
